ricoId,definition
rico:ChildRelation,"Connects at least one Person to at least another Person, when the first has(ave) child(s) the second one(s). The Relation is oriented from the parent to the child: the parent is the source of the relation, and the child(ren) is the target."
rico:Concept,"An idea, unit of thought, abstract cultural object or category"
rico:ContentType,The fundamental form of communication in which a Record or Record Part is expressed.
rico:Coordinates,Longitudinal and latitudinal information about a Place.
rico:CorporateBody,"An organized group of persons that act together as an Agent, and that has a recognized legal or social status."
rico:CorporateBodyType,Categorization of a Corporate Body.
rico:CorrespondenceRelation,"Connects at least two Persons, when they correspond or corresponded to each other. This Relation is not oriented."
rico:CreationRelation,"Connects at least one Record Resource or Instantiation to at least one Agent, when the Agent is either responsible for all or some of the content of the Record Resource, or is a contributor to the genesis or production of the Instantiation. The Record Resource or Instantiation is the source of the Relation, and the Agent(s) is the target."
rico:Date,Chronological information associated with an entity that contributes to its identification and contextualization.
rico:DateType,Categorization of a Date.
rico:DemographicGroup,Categorization of a Person or Group based on shared characteristics.
rico:DerivationRelation,"Connects an Instantiation to at least one Instantiation that is derived from it, whether it exists or has been lost or destroyed. The Relation is oriented chronologically, from the first Instantiation in time to the derived Instantiation: the first Instantiation is the source of the Relation, and the derived Instantiation(s) is the target."
rico:DescendanceRelation,"Connects at least one Person to at least another Person, when the first has/have descendant the second one(s). The Relation is oriented from the ascendant to the descendant: the ascendant Person(s) is the source of the Relation, and the descendant Person(s) is the target."
rico:DocumentaryFormType,"Categorization of a Record or Record Part with respect to its extrinsic and intrinsic elements that together communicate its content, administrative and documentary context, and authority."
rico:Event,Something that happens or occurs in time and space.
rico:EventRelation,"Connects at least one Event to at least one Thing, when the first is associated with the existence and lifecycle of the second one. The Event(s) is the source of the Relation, and the Thing(s) is the target."
rico:EventType,Categorization of an Event.
rico:Extent,Countable characteristics of the content of an entity expressed as a quantity.
rico:ExtentType,Categorization of the extent that is being measured.
rico:Family,"Two or more persons related by birth, or through marriage, adoption, civil union, or other social conventions that bind them together as a socially recognized familial group."
rico:FamilyRelation,"Connects at least two Persons, when they have some family link, i.e. belong to the same family. This Relation is a generic, not oriented one."
rico:FamilyType,Categorization of a Family.
rico:FunctionalEquivalenceRelation,Connects at least two Instantiations which may be considered as equivalent. This Relation is not oriented.
rico:Group,Two or more Agents that act together as an Agent.
rico:GroupSubdivisionRelation,"Connects a Group and at least another Group, when the first one has or had the second one(s) among its subdivisions. The Relation is oriented from the Group to its subdivision(s): the parent Group is the source and the subdivision Group(s) is the target."
rico:Identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain."
rico:IdentifierType,Categorization of an Identifier.
rico:Instantiation,"The inscription of information made by an Agent on a physical carrier in any persistent, recoverable form as a means of communicating information through time and space."
rico:InstantiationExtent,Countable characteristics of an Instantiation expressed as a quantity.
rico:InstantiationToInstantiationRelation,"Connects at least two instantiations. This Relation is a generic, not oriented one."
rico:IntellectualPropertyRightsRelation,Connects at least one Agent and one Record Resource or Instantiation on which the Agent has or had some intellectual property rights. The Agent(s) is the source of the Relation and the Record Resource(s) or Instantiation(s) is the target.
rico:KnowingOfRelation,"Connects at least one Person to at least another one, when the first one has some knowledge of the second one through time or space. The first Person is the source of the Relation, and the second one is the target."
rico:KnowingRelation,Connects at least two Persons who directly know each other during their existence. This Relation is not oriented.
rico:Language,A spoken or written human language represented in a Record Resource or used by an Agent.
rico:LeadershipRelation,"Connects at least one Person and at least one Group, when the first one(s) lead(s) or led the second one(s). The Relation is oriented from the leading Person to the Group: the leading Person(s) is the source of the Relation, and the Group(s) is the target."
rico:LegalStatus,A status defined by law.
rico:ManagementRelation,"Connects at least one Agent and at least one Record Resource or Instantiation that the Agent manages or managed. The Agent(s) is the source of the Relation, and the Record Resource(s) or Instantiation(s) is the target."
rico:Mandate,Delegation of responsibility or authority by an Agent to another Agent to perform an Activity.
rico:MandateRelation,"Connects at least one Mandate and at least one Agent, when the first gives or gave the second one the authority or competencies to act. May also involve one to many Activities that the Mandate(s) assign(s) or assigned to the Agent(s). The Mandate(s) is the source of the Relation and the Agent(s) is the target."
rico:MandateType,Categorization of a Mandate.
rico:Mechanism,A process or system created by a Person or Group that performs an Activity.
rico:MembershipRelation,"Connects a Group and at least one Person, when the first one has or had the second one(s) among its members. The Relation is oriented from the Group to its members: the Group(s) is the source of the Relation, and the Person(s) is the target."
rico:MigrationRelation,"Connects an Instantiation and at least another Instantiation it has been migrated into. The Relation is oriented chronologically, from the first Instantiation in time (the migrated one) to the one which results from its migration: the first Instantiation in time is the source of the Relation, and the resulting Instantiation is the target."
rico:Name,"A label, title or term designating an entity in order to make it distinguishable from other similar entities."
rico:OccupationType,"Categorization of a profession, trade, or craft pursued by a Person in fulfilment of an Activity."
rico:OrganicOrFunctionalProvenanceRelation,"Connects at least one Record Resource or Instantiation to at least one Agent or Activity, when the Agent or Activity is the provenance of the Record Resource or Instantiation (i.e. when the Agent created, accumulated or maintained the Record Resource or Instantiation, or when the Activity resulted into them). The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) or Activity(-ies) is the target."
rico:OrganicProvenanceRelation,"Connects at least one Record Resource or an Instantiation to at least one Agent that creates or accumulates the Record Resource, receives it, or sends it. The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) is the target."
rico:OwnershipRelation,"Connects at least one Group, Person or Position and at least a Thing that these Agent(s) own(s) or owned. The Group(s), Person(s) or Position(s) is the source of the Relation, and the Agent(s) is the target."
rico:PerformanceRelation,Connects at least one Activity to at least one Agent that performs or performed the activity. The Activity(-ies) is the source of the Relation and the Agent(s) is the target.
rico:Person,An individual human being.
rico:PhysicalLocation,A delimitation of the physical territory of a Place.
rico:Place,"Bounded, named geographic area or region."
rico:PlaceName,"A label, title or term designating a Place in order to make it distinguishable from other similar entities."
rico:PlaceRelation,Connects a Place and at least one Thing when the first is associated with the existence and lifecycle of the second one. The Place is the source of the Relation and the Thing(s) is the target.
rico:PlaceType,Categorization of a Place.
rico:Position,The functional role of a Person within a Group.
rico:PositionHoldingRelation,Connects at least one Person and at least one Position that the Person(s) occupies or occupied. The Person is the source of the Relation and the Position is the target.
rico:PositionToGroupRelation,"Connects at least one Position and a Group in which the position(s) exist(s) or existed, or that is (are) defined by that group's organizational structure. The Position(s) is the source of the Relation and the Group is the target."
rico:ProductionTechniqueType,The method used in the representation of information on an instantiation.
rico:Proxy,A Proxy represents (stands for) a Record Resource as it exists in a specific Record Set.
rico:Record,"Discrete information content formed and inscribed, at least once, by any method on any carrier in any persistent, recoverable form by an Agent in the course of life or work activity."
rico:RecordPart,Component of a Record with independent information content that contributes to the intellectual completeness of the Record.
rico:RecordResource,Information produced or acquired and retained by an Agent in the course of life or work activity.
rico:RecordResourceExtent,"The quantity of information content, as human experienced, contained in a Record Resource."
rico:RecordResourceGeneticRelation,"Connects two or more record resources when there is a genetic link between them. Genetic in this sense is as defined by diplomatics, i.e., the process by which a record resource is developed. This Relation is a generic, not oriented one."
rico:RecordResourceHoldingRelation,Connects at least one Agent and one or more Record Resource or Instantiation that the Agent(s) hold(s) or held. The Agent(s) is the source of the Relation and the Record Resource(s) or Instantiation is the target.
rico:RecordResourceToInstantiationRelation,"Connects a Record Resource to one or more Instantiations that instantiate it, and which either may exist or may have been lost or destroyed. The Record Resource is the source of the Relation and the Instantiation(s) is the target."
rico:RecordResourceToRecordResourceRelation,"Connects at least two Record Resources. This Relation is a generic, not oriented one."
rico:RecordSet,One or more records that are grouped together by an Agent based on the records sharing one or more attributes or relations.
rico:RecordSetType,A broad categorization of the type of Record Set.
rico:RecordState,Description of the production or reproduction status of a Record or Record Part.
rico:Relation,"The top level relation class. It connects at least two Things. An instance of a Relation may have some datatype and object properties: a general description (datatype property) like any Thing; a certainty (for 'certain', 'quite probable', 'uncertain','unknown'); a date (use either the date datatype property or the Date class and isAssociatedWithDate object property); a state (relationState); a location (use the Place class and isAssociatedWithPlace object property); a source of information that can be used as an evidence for it (use either source datatype property or hasSource object property). This Relation is the most generic one; it is not oriented."
rico:RepresentationType,Method of recording the content type of an Instantiation
rico:RoleType,"The role an Agent plays in some context (usually in some creation relation). Not to be confused with a Position (position of an agent in some group). For example, a Person who is the head of some Corporate Body may play the role of annotator (of a record) in a creation relation."
rico:Rule,"Conditions that govern the existence, responsibility, or authority of an Agent; or the performance of an Activity by an Agent; or that contribute to the distinct characteristics of things created or managed by an Agent."
rico:RuleRelation,"Connects at least one Rule to at least one Thing when it is associated with existence and lifecycle of the Thing. The Rule(s) is the source of the Relation, and the Thing(s) is the target."
rico:RuleType,Categorization of a Rule.
rico:SequentialRelation,"Connects at least one Thing to at least one other Thing that follows or followed it in some sequence. The Relation is oriented from the first Thing(s) in the sequence to the following one(s): the first Thing(s) is the source, and the following Thing(s) is the target."
rico:SiblingRelation,"Connects at least two Persons, when they are siblings. This Relation is not oriented."
rico:SpouseRelation,"Connects at least two Persons, when they are spouses. This Relation is not oriented."
rico:TeachingRelation,"Connects at least one Person to at least another Person who is or was their student. The Relation is oriented from the teacher(s) to the student(s): the teacher Person(s) is the source of the Relation, and the student Person(s) is the target."
rico:TemporalRelation,"Connects at least one Thing to at least one other Thing that follows it in chronological order. The Relation is oriented chronologically: the preceding Thing(s) is the source of the Relation, the following Thing(s) is the target."
rico:Thing,"Any idea, material thing, or event within the realm of human experience."
rico:Title,A name that is used for a Record Resource or a Rule
rico:Type,A superclass for any category of some thing. A type characterizes an entity.
rico:TypeRelation,"Connects a category (a Type) and at least one Thing that belongs to this category. The Type(s) is the source of the Relation, and the Thing(s) is the target."
rico:UnitOfMeasurement,"A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity. Can be spacial units (cm, m), weight (g, kg), time (s, h), storage (MB, TB) or more informal units used in the archival context like number of boxes, pages or words."
rico:WholePartRelation,"Connects a Thing to at least one other Thing that is or was a portion or division of the whole Thing. The Relation is oriented from the Thing to its part(s): the Thing is the source of the Relation, and the part Thing(s) is the target."
rico:WorkRelation,Connects at least two Agents that have or had some type of work relation in the course of their activities. This Relation is not oriented.
rico:accruals,Information on the anticipated accession(s) to the Record Set.
rico:accrualsStatus,Information on the status of possible accruals
rico:altimetricSystem,Reference system used for altitude
rico:altitude,"The height of a Place above a reference level, especially above sea level."
rico:authenticityNote,"Description of the evidence that a Record Resource or Instantiation is what it purports to be, was created or sent by the said Agent at the said time, and has not been tampered with, corrupted, or forged."
rico:authorizingMandate,Information on a Mandate that authorizes an Agent to perform an Activity.
rico:beginningDate,Date at which something began.
rico:birthDate,Date at which a Person was born.
rico:carrierExtent,"Number of physical units and/or physical dimensions of the carrier of an Instantiation. In order to manage an Instantiation of a record resource it is necessary to note the extent of the carrier as well as that of the Instantiation itself. Whether it is necessary to note dimensions, the number of relevant units, or both, depends on the nature of the carrier and particular business needs."
rico:classification,"A term, number or alphanumeric string that is usually taken from an external classification vocabulary or scheme that qualifies a Record Resource."
rico:conditionsOfAccess,Terms and circumstances affecting the availability of a Record Resource or an Instantiation for consultation.
rico:conditionsOfUse,Terms and circumstances affecting the use of a Record Resource or an Instantiation after access has been provided. Includes conditions governing reproduction of the Record Resource under applicable copyright (intellectual property) and/or property legislation or due to conservation status.
rico:creationDate,Date at which an entity was created.
rico:date,Chronological information associated with an entity that contributes to its identification and contextualization.
rico:dateQualifier,A human readable qualification of a Date to indicate the level of precision or certainty.
rico:deathDate,Date at which a Person died.
rico:destructionDate,Date at which an entity was deleted.
rico:endDate,Date at which something ended.
rico:expressedDate,"Natural language expression of a date. This property is a specialization of the name property. In order that the precise meaning of the date can be understood, information such as the calendar used or other specific context should be included."
rico:generalDescription,"General information about an entity. General description may be used to describe any entity. There are different appropriate uses for general description. First, while it is recommended that more specific properties be used in describing an entity, it may be desirable, for economic or other reasons, to describe two or more specific properties together. Second, general description may be used to describe one or more characteristics that are not otherwise accommodated in RiC-O. Third, it may be used to provide a succinct summary or abstract description in addition to more detailed specific description."
rico:geodesicSystem,Reference system used for geographical coordinates.
rico:geographicalCoordinates,Longitudinal and latitudinal information about a Place.
rico:height,Vertical dimension of an entity.
rico:history,Summary of the development of an entity throughout its existence.
rico:identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain. Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value."
rico:instantiationExtent,Countable characteristics of an Instantiation expressed as a quantity.
rico:instantiationStructure,Information about the physical arrangement and composition of an Instantiation.
rico:integrityNote,Information about the known intellectual completeness of a Record Resource.
rico:lastModificationDate,Date at which an entity was last updated.
rico:latitude,Distance in degrees north or south of the equator.
rico:length,Length of an entity.
rico:location,"A delimitation of the physical territory of a Place. Used to describe basic human-readable text such as an address, a cadastral reference, or less precise information found in a Record."
rico:longitude,Distance in degrees east or west of a prime meridian.
rico:measure,"The extent, quantity, amount, or degree of an entity, as determined by measurement or calculation."
rico:modificationDate,Date of the modification of an entity.
rico:name,"A label, title or term designating an entity in order to make it distinguishable from other similar entities."
rico:normalizedDateValue,Machine readable representation of the date based on a public technical standard.
rico:normalizedValue,"Value representation based on a standard, preferably machine-readable."
rico:physicalCharacteristicsNote,"Information about the physical features, completeness, or conservation status of an Instantiation. Includes information about the physical nature and condition such as conservation status or the deterioration of an Instantiation (for example its carrier) affecting the ability to recover information."
rico:physicalOrLogicalExtent,Countable characteristics of the content of an entity expressed as a quantity.
rico:productionTechnique,The method used in the representation of information on an Instantiation.
rico:publicationDate,Date of the publication of a Record Resource.
rico:qualityOfRepresentationNote,Characteristics of an Instantiation that affect the ability to recover the intellectual content. Such characteristics may be related to the methods used in creating the Instantiation or introduced subsequent to the creation through accident.
rico:quantity,Machine-readable quantity.
rico:recordResourceExtent,"The quantity of information content, as human experienced, contained in a Record Resource. The method and precision of expressing the quantity of information represented in a Record Resource will vary according to the kind of Record Resource being described, processing economy constraints, etc. For record sets, quantity may be expressed as number of records, or, for analogue records in particular, by the physical storage dimensions of the members of the Record Set. For individual records or record parts, quantity may be expressed in more precise terms."
rico:recordResourceStructure,"Information about the intellectual arrangement and composition of a Record Resource. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set"
rico:referenceSystem,Framework or standard used to represent an information.
rico:relationCertainty,Qualifies the level of certitude of the accuracy of a Relation.
rico:relationSource,A source of information used for identifying and describing a Relation.
rico:relationState,"Used to qualify the state of a Relation (e. g. present, past, ongoing, unknown)."
rico:ruleFollowed,The rule or conditions that govern the existence or lifecycle of a Thing.
rico:scopeAndContent,"Summary of the scope (such as time periods, geography) and content (such as subject matter, administrative processes) of a Record Resource. Provides a more complete summary of the informational content of the Record Resource highlighting the information conveyed in the Record Resource, why it was created, received, and/or maintained, and the agents connected to it. It may include description of relations with agents, activities, dates and places, or with other record resources."
rico:structure,"Information about the intellectual arrangement and composition of a Record Resource or the physical arrangement and composition of an Instantiation. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set. For Instantiation, it may comprise information about the composition of the physical elements of the instantiation"
rico:technicalCharacteristics,Describes any relevant physical or software feature of any device involved in the creation or management of a Record Resource.
rico:textualValue,A textual expression of an Appellation or Date.
rico:title,"An identifying name of a Record Resource, Instantiation or Rule."
rico:type,A term used to characterize an entity.
rico:unitOfMeasurement,"A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity. Can be spacial units (cm, m), weight (g, kg), time (s, h), storage (MB, TB) or more informal units used in the archival context like number of boxes, pages or words."
rico:usedFromDate,Date at which an Appellation was first used.
rico:usedToDate,Date until an Appellation was used.
rico:width,Horizontal dimension of an entity.
rico:accumulationRelation_role,"Connects an AccumulationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:activityDocumentationRelation_role,"Connects an ActivityDocumentationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:activityIsContextOfRelation,Connects an Activity to an Agent Temporal Relation (when the Activity is transferred from an Agent to another one) or a Mandate Relation (the Mandate assigns the Activity to the Agent or defines it).
rico:affectsOrAffected,Connects an Event to a Thing on which the Event has or had some significant impact.
rico:agentControlRelation_role,"Connects an AgentControlRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentHasOrHadLocation,Inverse of 'is or was location of agent' object property.
rico:agentHierarchicalRelation_role,"Connects an AgentHierarchicalRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentTemporalRelation_role,"Connects an AgentTemporalRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentToAgentRelation_role,"Connects an AgentToAgentRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:appellationRelation_role,"Connects an AppellationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:asConcernsActivity,"Connects an Agent Temporal Relation or Mandate Relation, to an Activity that is, either transferred from an Agent to another one, or assigned by a Mandate to an Agent."
rico:authorityRelation_role,"Connects an AuthorityRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:authorizedBy,Inverse of 'authorizes' object property
rico:authorizes,Connects a Mandate to the Agent that the Mandate gives the authority or competencies to act.
rico:authorizingAgent,Connects a Mandate Relation to an Agent that assigns the Mandate.
rico:authorshipRelation_role,"Connects an AuthorshipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:childRelation_role,"Connects a ChildRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:contained,Connects a Place to a Place that it contained in the past.
rico:containsOrContained,Connects a Place to a region that is or was within it.
rico:containsTransitive,
rico:correspondenceRelation_role,"Connects a CorrespondenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:creationRelation_role,"Connects a CreationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:creationWithRole,Connects a Creation Relation to the Role Type that the creator Agent(s) has in the creation process
rico:derivationRelation_role,"Connects a DerivationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:descendanceRelation_role,"Connects a DescendanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:describesOrDescribed,Connects a Record Resource to a Thing that it describes or described.
rico:directlyContains,
rico:directlyFollowsInSequence,Connects a Thing to a Thing that it follows directly in some non chronological sequence.
rico:directlyIncludes,Connects a Record Set to a Record or Record Set which it includes directly.
rico:directlyPrecedesInSequence,Connects a Thing to a Thing that it precedes directly in some non chronological sequence.
rico:documentedBy,Inverse of 'documents' object property.
rico:documents,Connects a Record Resource or an Instantiation to the Activity that generates the Record Resource or Instantiation.
rico:eventRelation_role,"Connects an EventRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:evidences,"Connects a Record Resource to a Relation, when the first is used for proving the existence of the second one, or for describing it."
rico:existsOrExistedIn,"Connects a Position to a Group in which that Position exists or existed, or that is defined by that Group's organizational structure."
rico:expressesOrExpressed,Inverse of 'is or was expressed by' object property.
rico:familyRelation_role,"Connects a FamilyRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:followedInSequence,Connects a Thing to a Thing that it followed in some non chronological sequence in the past.
rico:followsInSequenceTransitive,Connects a Thing to a Thing that it directly or indirectly follows in some non chronological sequence.
rico:followsInTime,Inverse of 'precedes in time' object property. This is a transitive relation.
rico:followsOrFollowed,Inverse of 'precedesOrPreceded' object property.
rico:functionalEquivalenceRelation_role,"Connects a FunctionalEquivalenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:groupSubdivisionRelation_role,"Connects a GroupSubdivisionRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:hadComponent,Connects an Instantiation to another Instantiation that was its component in the past.
rico:hadConstituent,Connects a Record or Record Part to another Record or Record Part that was its constituent in the past.
rico:hadPart,Connects a Thing to a Thing that was a constitutive or component part of that Thing in the past.
rico:hadSubdivision,Connects a Group to one of its past subdivisions.
rico:hadSubevent,"Connects a past Event to one of a series of past Events that constituted that original, broader, past Event."
rico:hadSubordinate,Connects an Agent to an Agent that was hierarchically inferior in the past.
rico:hasAccumulator,"Connects a Record Resource or an Instantiation to the Agent that accumulates it, be it intentionally (collecting) or not (receiving in the course of its activities)."
rico:hasActivityType,Connects an Activity to an Activity Type that categorizes it.
rico:hasAddressee,Connects a Record Resource or an Instantiation to the Agent that it is addressed to.
rico:hasAncestor,Inverse of 'has descendant' object property. This is a transitive relation.
rico:hasAuthor,"Connects a Record to the Group, Person or Position that is responsible for conceiving and formulating the information contained in the Record."
rico:hasBeginningDate,Inverse of 'is beginning date of' object property
rico:hasBirthDate,Inverse of 'is birth date of' object property
rico:hasBirthPlace,Inverse of 'is birth place of' object property
rico:hasCarrierType,Connects an Instantiation to a Carrier Type which categorizes its carrier.
rico:hasChild,Connects a Person to one of their children.
rico:hasCollector,"Connects a Record Resource or an Instantiation to the Agent that collects it intentionally, i.e., the Agent is a collector."
rico:hasComponentTransitive,"Connects an Instantiation to another Instantiation that is, directly or indirectly, a component of that Instantiation. This is a transitive relation."
rico:hasConstituentTransitive,"Connects a Record or Record Part to another Record or Record Part that is its constituent, directly or indirectly. This is a transitive relation."
rico:hasContentOfType,Connects a Record or a Record Part to a Content Type which categorizes its content.
rico:hasCopy,Connects a Record Resource to a copy of that Record Resource.
rico:hasCreationDate,Inverse of 'is creation date of' object property
rico:hasCreator,Connects a Record Resource or an Instantiation to an Agent that is either responsible for all or some of the content of the Record Resource or is a contributor to the genesis or production of an Instantiation.
rico:hasDateType,Connects a Date to its Date Type.
rico:hasDeathDate,Inverse of 'is death date of' object property
rico:hasDeathPlace,Inverse of 'is death place of' object property
rico:hasDescendant,Connects a Person to one of their descendants. This is a transitive relation.
rico:hasDestructionDate,Inverse of 'is destruction date of' object property.
rico:hasDirectComponent,Connects an Instantiation to another Instantiation that is its direct component.
rico:hasDirectConstituent,Connects a Record to another Record or Record Part that is its direct constituent.
rico:hasDirectPart,Connects a Thing to a Thing that is a direct constitutive or component part of that Thing.
rico:hasDirectSubdivision,Connects a Group to one of its direct subdivisions.
rico:hasDirectSubevent,"Connects an ongoing Event to one of a series of Events that directly constitute that broader, ongoing Event."
rico:hasDirectSubordinate,Connects an Agent to an Agent that is its direct subordinate.
rico:hasDocumentaryFormType,Connects a Record or Record Part to its Documentary Form Type.
rico:hasDraft,Inverse of 'is draft of' object property.
rico:hasEndDate,Inverse of 'is end date of' object property.
rico:hasEventType,Connects an Event to an Event Type which categorizes it.
rico:hasExtent,Connects a Record Resource or Instantiation to an Extent
rico:hasExtentType,Connects an Extent to an Extent Type that categorizes what is being measured.
rico:hasFamilyAssociationWith,"Connects two Persons that have some type of family link, i.e. belong to the same family. This relation is symmetric."
rico:hasFamilyType,Connects a Family to a Family Type that categorizes it.
rico:hasGeneticLinkToRecordResource,"Connects two Record Resources when there is a genetic link between them. Genetic in this sense is as defined by diplomatics, i.e. the process by which a Record Resource is developed. This relation is symmetric."
rico:hasIdentifierType,Connects an Identifier and an Identifier Type that categorizes it.
rico:hasModificationDate,Inverse of 'is modification date of' object property.
rico:hasOrHadAgentName,Connects an Agent and (one of) its present or past Agent Name.
rico:hasOrHadAllMembersWithCategory,Connects a Record Set and a Category (Type) to which all the Records or Record Parts that are or were included in the Record Set belong.
rico:hasOrHadAllMembersWithContentType,Connects a Record Set and a Content Type that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithCreationDate,Inverse of 'is or was creation date of all members of' object property
rico:hasOrHadAllMembersWithDocumentaryFormType,Connects a Record Set and a Documentary Form Type that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithLanguage,Connects a Record Set and a Language used by all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithLegalStatus,Connects a Record Set and a Legal Status that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithRecordState,Connects a Record Set and a Record State that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAnalogueInstantiation,"Connects a record resource to one of its analogue instantiations, whether it exists or has been lost or destroyed."
rico:hasOrHadAppellation,Connects a Thing to an Appellation that is or was used for designating it.
rico:hasOrHadAuthorityOver,Connects an Agent to a Thing over which the Agent has or had some kind of authority.
rico:hasOrHadCategory,Connects a Thing to a Type that categorizes or categorized it.
rico:hasOrHadComponent,Connects an Instantiation to one of its present or past component instantiations.
rico:hasOrHadConstituent,Connects a Record or Record Part to a Record or Record part that is or was a constituent of that Record or Record Part.
rico:hasOrHadController,Inverse of 'is or was controller of' object property.
rico:hasOrHadCoordinates,Connects a Physical Location to its past or present coordinates in a reference system.
rico:hasOrHadCorporateBodyType,Connects a Corporate Body to a Corporate Body Type which categorizes or categorized it.
rico:hasOrHadCorrespondent,Connects two Persons that correspond or have corresponded with each other. This relation is symmetric.
rico:hasOrHadDemographicGroup,Connects a Person or a Group to a Demographic Group to which it belongs or belonged.
