ricoId,definition
rico:PositionHoldingRelation,Person-Position
rico:PositionToGroupRelation,Position-Gruppe
rico:ProductionTechniqueType,Herstellungstechnikkategorie
rico:Proxy,Proxy
rico:Record,Record
rico:RecordPart,Recordteil
rico:RecordResource,Recordressource
rico:RecordResourceExtent,Recordressourceumfang
rico:RecordResourceGeneticRelation,Recordressource-Entstehungszusammenhang-Recordressource
rico:RecordResourceHoldingRelation,Akteur-Aufbewahrung-Recordressource/Instanz
rico:RecordResourceToInstantiationRelation,Recordressource-Repräsentation
rico:RecordResourceToRecordResourceRelation,Recordressource-Recordressource
rico:RecordSet,Recordgruppe
rico:RecordSetType,Recordgruppenkategorie
rico:RecordState,Recordstatus
rico:Relation,Beziehung
rico:RepresentationType,Repräsentationskategorie
rico:RoleType,Rollenkategorie
rico:Rule,Regel
rico:RuleRelation,Regel-Ding
rico:RuleType,Regelkategorie
rico:SequentialRelation,Ding-Abfolge-Ding
rico:SiblingRelation,Person-Geschwister
rico:SpouseRelation,Person-Ehepartner
rico:StudyAtRelation,Studium-An-Beziehung
rico:TeachingRelation,Person-Student
rico:TemporalRelation,Ding-Zeitfolge-Ding
rico:Thing,Ding
rico:Title,Titel
rico:TitleType,Titelkategorie
rico:Type,Kategorie
rico:TypeRelation,Kategorie-Ding
rico:UnitOfMeasurement,Masseinheit
rico:WholePartRelation,Teil-Ganzes-Beziehung
rico:WorkRelation,Akteur-Arbeit-Akteur
rico:accruals,Information on the anticipated accession(s) to the Record Set.
rico:accrualsStatus,Information on the status of possible accruals
rico:accumulationDate,A date at which a Record Resource or Instantiation was or will be accumulated.
rico:allMembersWithAccumulationDate,Date at which all of the present or past members of a Record Set were or will be accumulated.
rico:allMembersWithCreationDate,Date at which all of the present or past members of a Record Set were or will be created.
rico:altimetricSystem,Reference system used for altitude
rico:altitude,"The height of a Place above a reference level, especially above sea level."
rico:authenticityNote,"Information on the evidence that a Record Resource or Instantiation is what it purports to be, was created or sent by the said Agent at the said time, and has not been tampered with, corrupted, or forged."
rico:authorizingMandate,Information on a Mandate that authorizes an Agent to perform an Activity.
rico:beginningDate,Date at which something began.
rico:birthDate,Date at which a Person was born.
rico:carrierExtent,"Number of physical units and/or physical dimensions of the carrier of an Instantiation. In order to manage an Instantiation of a record resource it is necessary to note the extent of the carrier as well as that of the Instantiation itself. Whether it is necessary to note dimensions, the number of relevant units, or both, depends on the nature of the carrier and particular business needs."
rico:classification,"A term, number or alphanumeric string that is usually taken from an external classification vocabulary or scheme that qualifies a Record Resource."
rico:conditionsOfAccess,Terms and circumstances affecting the availability of a Record Resource or an Instantiation for consultation.
rico:conditionsOfUse,Terms and circumstances affecting the use of a Record Resource or an Instantiation after access has been provided. Includes conditions governing reproduction of the Record Resource under applicable copyright (intellectual property) and/or property legislation or due to conservation status.
rico:creationDate,Date at which a Record Resource or Instantiation was or will be created.
rico:date,Chronological information associated with an entity that contributes to its identification and contextualization.
rico:dateQualifier,A human readable qualification of a Date to indicate the level of precision or certainty.
rico:deathDate,Date at which a Person died.
rico:derivationDate,Date at which an Instantiation was or will be derived from another Instantiation.
rico:destructionDate,Date at which a Record Resource or Instantiation was or will be destructed.
rico:endDate,Date at which something ended.
rico:expressedDate,"Natural language expression of a date. This property is a specialization of the name property. In order that the precise meaning of the date can be understood, information such as the calendar used or other specific context should be included."
rico:generalDescription,"General information about an entity. General description may be used to describe any entity. There are different appropriate uses for general description. First, while it is recommended that more specific properties be used in describing an entity, it may be desirable, for economic or other reasons, to describe two or more specific properties together. Second, general description may be used to describe one or more characteristics that are not otherwise accommodated in RiC-O. Third, it may be used to provide a succinct summary or abstract description in addition to more detailed specific description."
rico:geodesicSystem,Reference system used for geographical coordinates.
rico:geographicalCoordinates,Longitudinal and latitudinal information about a Place.
rico:height,Vertical dimension of an entity.
rico:history,Summary of the development of an entity throughout its existence.
rico:identifier,"A word, number, letter, symbol, or any combination of these used to uniquely identify or reference an individual instance of an entity within a specific information domain. Can include Global Persistent Identifiers (globally unique and persistently resolvable identifier for the entity) and/or Local Identifiers. Both the domain within which the identifier is unique, and the rules used in forming the identifier value should be provided with the identifier value."
rico:instantiationExtent,Countable characteristics of an Instantiation expressed as a quantity.
rico:instantiationStructure,Information about the physical arrangement and composition of an Instantiation.
rico:integrityNote,Information about the known intellectual completeness of a Record Resource.
rico:lastModificationDate,Date at which an entity was last updated.
rico:latitude,Distance in degrees north or south of the equator.
rico:length,Length of an entity.
rico:location,"A delimitation of the physical territory of a Place. Used to describe basic human-readable text such as an address, a cadastral reference, or less precise information found in a Record."
rico:longitude,Distance in degrees east or west of a prime meridian.
rico:measure,"The extent, quantity, amount, or degree of an entity, as determined by measurement or calculation."
rico:migrationDate,Date at which an Instantiation was or will be migrated.
rico:modificationDate,Date of the modification of an entity.
rico:mostMembersWithAccumulationDate,Date at which most of the present or past members of a Record Set were or will be accumulated.
rico:mostMembersWithCreationDate,Date at which most of the present or past members of a Record Set were or will be created.
rico:name,"A label, title or term designating an entity in order to make it distinguishable from other similar entities."
rico:normalizedDateValue,Machine readable representation of the date based on a public technical standard.
rico:normalizedValue,"Value representation based on a standard, preferably machine-readable."
rico:note,"A short textual statement, that gives a little information on a specific feature of a Thing."
rico:physicalCharacteristicsNote,"Information about the physical features, completeness, or conservation status of an Instantiation. Includes information about the physical nature and condition such as conservation status or the deterioration of an Instantiation (for example its carrier) affecting the ability to recover information."
rico:physicalOrLogicalExtent,Countable characteristics of the content of an entity expressed as a quantity.
rico:productionTechnique,The method used in the representation of information on an Instantiation.
rico:publicationDate,"Date of the publication, in the past or in the future, of a Record Resource."
rico:qualityOfRepresentationNote,Characteristics of an Instantiation that affect the ability to recover the intellectual content. Such characteristics may be related to the methods used in creating the Instantiation or introduced subsequent to the creation through accident.
rico:quantity,Machine-readable quantity.
rico:rankInHierarchy,"The rank of a Record Resource, or of a Proxy that stands for it, in a hierarchy."
rico:rankInSequence,"The rank of a Record Resource, or of a Proxy that stands for it, in a sequence."
rico:recordResourceExtent,"The quantity of information content, as human experienced, contained in a Record Resource. The method and precision of expressing the quantity of information represented in a Record Resource will vary according to the kind of Record Resource being described, processing economy constraints, etc. For record sets, quantity may be expressed as number of records, or, for analogue records in particular, by the physical storage dimensions of the members of the Record Set. For individual records or record parts, quantity may be expressed in more precise terms."
rico:recordResourceSourceOfInformation,Information about some source on which the content of a Record Resource is based.
rico:recordResourceStructure,"Information about the intellectual arrangement and composition of a Record Resource. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set"
rico:referenceSystem,Framework or standard used to represent an information.
rico:relationCertainty,Qualifies the level of certitude of the accuracy of a Relation.
rico:relationSource,A source of information used for identifying and describing a Relation.
rico:relationState,"Used to qualify the state of a Relation (e. g. present, past, ongoing, unknown)."
rico:ruleFollowed,The rule or conditions that govern the existence or lifecycle of a Thing.
rico:scopeAndContent,"Summary of the scope (such as time periods, geography) and content (such as subject matter, administrative processes) of a Record Resource. Provides a more complete summary of the informational content of the Record Resource highlighting the information conveyed in the Record Resource, why it was created, received, and/or maintained, and the agents connected to it. It may include description of relations with agents, activities, dates and places, or with other record resources."
rico:sentimentOrEmotionExpressed,"Specification of, or information about, the sentiment(s) or emotion(s) expressed by the content of a Record or a Record Part."
rico:someMembersWithAccumulationDate,Date at which some of the present or past members of a Record Set were or will be accumulated.
rico:someMembersWithCreationDate,Date at which some of the present or past members of a Record Set were or will be created.
rico:structure,"Information about the intellectual arrangement and composition of a Record Resource or the physical arrangement and composition of an Instantiation. For Record and Record Part, it encompasses information about the intellectual composition of the record, the presence of record parts and their functions. For Record Set, it encompasses information about the methodology or criteria used for arranging the Record Set members or Record members within the containing Record Set. For Instantiation, it may comprise information about the composition of the physical elements of the instantiation"
rico:technicalCharacteristics,Describes any relevant physical or software feature of any device involved in the creation or management of a Record Resource.
rico:textualValue,A textual expression of an Appellation or Date.
rico:title,"An identifying name of a Record Resource, Instantiation or Rule."
rico:type,A term used to characterize an entity.
rico:unitOfMeasurement,"A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity. Can be spacial units (cm, m), weight (g, kg), time (s, h), storage (MB, TB) or more informal units used in the archival context like number of boxes, pages or words."
rico:usedFromDate,Date at which an Appellation was first used.
rico:usedToDate,Date until an Appellation was used.
rico:width,Horizontal dimension of an entity.
rico:accumulationRelation_role,"Connects an AccumulationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:activityDocumentationRelation_role,"Connects an ActivityDocumentationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:activityIsContextOfRelation,Connects an Activity to an Agent Temporal Relation (when the Activity is transferred from an Agent to another one) or a Mandate Relation (the Mandate assigns the Activity to the Agent or defines it).
rico:affectsOrAffected,Connects an Event to a Thing on which the Event has or had some significant impact.
rico:agentControlRelation_role,"Connects an AgentControlRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentHasOrHadLocation,Inverse of 'is or was location of agent' object property.
rico:agentHierarchicalRelation_role,"Connects an AgentHierarchicalRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentTemporalRelation_role,"Connects an AgentTemporalRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:agentToAgentRelation_role,"Connects an AgentToAgentRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:appellationRelation_role,"Connects an AppellationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:asConcernsActivity,"Connects an Agent Temporal Relation or Mandate Relation, to an Activity that is, either transferred from an Agent to another one, or assigned by a Mandate to an Agent."
rico:authorityRelation_role,"Connects an AuthorityRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:authorizedBy,Inverse of 'authorizes' object property.
rico:authorizes,Connects a Mandate to the Agent that the Mandate gives the authority or competencies to act.
rico:authorizingAgent,Connects a Mandate Relation to an Agent that assigns the Mandate.
rico:authorshipRelation_role,"Connects an AuthorshipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:childRelation_role,"Connects a ChildRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:contained,Connects a Place to a Place that it contained in the past.
rico:containsOrContained,Connects a Place to a region that is or was within it.
rico:containsTransitive,"Connects a Place to a Place that it contains, directly or indirectly. This is a transitive relation."
rico:correspondenceRelation_role,"Connects a CorrespondenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:creationRelation_role,"Connects a CreationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:creationWithRole,Connects a Creation Relation to the Role Type that the creator Agent(s) has in the creation process
rico:derivationRelation_role,"Connects a DerivationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:descendanceRelation_role,"Connects a DescendanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:describesOrDescribed,Connects a Record Resource to a Thing that it describes or described.
rico:directlyContains,Connects a Place to another Place that it directly contains.
rico:directlyFollowsInSequence,Inverse of 'directly precedes in sequence' object property.
rico:directlyFollowsProxyInSequence,Inverse of 'proxy directly precedes in sequence' object property.
rico:directlyIncludes,Connects a Record Set to a Record or Record Set which it includes directly.
rico:directlyIncludesProxy,Inverse of 'proxy is directly included in' object property.
rico:directlyPrecedesInSequence,Connects a Thing to a Thing that it precedes directly in some sequence (not necessarily defined or characterised chronologically).
rico:directlyPrecedesProxyInSequence,Connects a Record Resource to a Proxy of a Record Resource that it precedes directly in some sequence (not necessarily defined or characterised chronologically).
rico:documentedBy,Inverse of 'documents' object property.
rico:documents,Connects a Record Resource or an Instantiation to the Activity that generates the Record Resource or Instantiation.
rico:eventRelation_role,"Connects an EventRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:evidences,"Connects a Record Resource to a Relation, when the first is used for proving the existence of the second one, or for describing it."
rico:existsOrExistedIn,"Connects a Position to a Group in which that Position exists or existed, or that is defined by that Group's organizational structure."
rico:expressesOrExpressed,Inverse of 'is or was expressed by' object property.
rico:familyRelation_role,"Connects a FamilyRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:followedInSequence,Connects a Thing to a Thing that it followed in some sequence (not necessarily defined or characterised chronologically) in the past.
rico:followsInSequenceTransitive,Inverse of 'precedes in sequence transitive' object property.
rico:followsInTime,Inverse of 'precedes in time' object property. This is a transitive relation.
rico:followsOrFollowed,Inverse of 'precedes or preceded' object property.
rico:followsProxyInSequence,Inverse of 'proxy precedes in sequence' object property.
rico:functionalEquivalenceRelation_role,"Connects a FunctionalEquivalenceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:groupSubdivisionRelation_role,"Connects a GroupSubdivisionRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:hadComponent,Connects an Instantiation to another Instantiation that was its component in the past.
rico:hadConstituent,Connects a Record or Record Part to another Record or Record Part that was its constituent in the past.
rico:hadPart,Connects a Thing to a Thing that was a constitutive or component part of that Thing in the past.
rico:hadSubdivision,Connects a Group to one of its past subdivisions.
rico:hadSubevent,"Connects a past Event to one of a series of past Events that constituted that original, broader, past Event."
rico:hadSubordinate,Connects an Agent to an Agent that was hierarchically inferior in the past.
rico:hasAccumulationDate,Inverse of 'is accumulation date of' object property.
rico:hasAccumulator,"Connects a Record Resource or an Instantiation to the Agent that accumulates it, be it intentionally (collecting) or not (receiving in the course of its activities)."
rico:hasActivityType,Connects an Activity to an Activity Type that categorizes it.
rico:hasAddressee,Connects a Record Resource or an Instantiation to the Agent that it is addressed to.
rico:hasAncestor,Inverse of 'has descendant' object property. This is a transitive relation.
rico:hasAuthor,"Connects a Record to the Group, Person or Position that is responsible for conceiving and formulating the information contained in the Record."
rico:hasBeginningDate,Inverse of 'is beginning date of' object property.
rico:hasBirthDate,Inverse of 'is birth date of' object property.
rico:hasBirthPlace,Inverse of 'is birth place of' object property.
rico:hasCarrierType,Connects an Instantiation to a Carrier Type which categorizes its carrier.
rico:hasChild,Connects a Person to one of their children.
rico:hasCollector,"Connects a Record Resource or an Instantiation to the Agent that collects it intentionally, i.e., the Agent is a collector."
rico:hasComponentTransitive,"Connects an Instantiation to another Instantiation that is, directly or indirectly, a component of that Instantiation. This is a transitive relation."
rico:hasConstituentProxy,Inverse of 'proxy is constituent of' object property.
rico:hasConstituentTransitive,"Connects a Record or Record Part to another Record or Record Part that is its constituent, directly or indirectly. This is a transitive relation."
rico:hasContentOfType,Connects a Record or a Record Part to a Content Type which categorizes its content.
rico:hasContentWhichMainlyRepresents,Connects a Record or a Record Part to a Thing that its content mainly represents.
rico:hasContentWhichRepresents,Connects a Record or a Record Part to a Thing that its content represents.
rico:hasCopy,Connects a Record Resource to a copy of that Record Resource.
rico:hasCreationDate,Inverse of 'is creation date of' object property
rico:hasCreator,Connects a Record Resource or an Instantiation to an Agent that is either responsible for all or some of the content of the Record Resource or is a contributor to the genesis or production of an Instantiation.
rico:hasDateType,Connects a Date to its Date Type.
rico:hasDeathDate,Inverse of 'is death date of' object property.
rico:hasDeathPlace,Inverse of 'is death place of' object property.
rico:hasDerivationDate,Inverse of 'is derivation date of' object property.
rico:hasDescendant,Connects a Person to one of their descendants. This is a transitive relation.
rico:hasDestructionDate,Inverse of 'is destruction date of' object property.
rico:hasDirectComponent,Connects an Instantiation to another Instantiation that is its direct component.
rico:hasDirectConstituent,Connects a Record or Record Part to another Record or Record Part that is its direct constituent.
rico:hasDirectConstituentProxy,Inverse of 'proxy is direct constituent of' object property.
rico:hasDirectPart,Connects a Thing to a Thing that is a direct constitutive or component part of that Thing.
rico:hasDirectSubdivision,Connects a Group to one of its direct subdivisions.
rico:hasDirectSubevent,"Connects an ongoing Event to one of a series of Events that directly constitute that broader, ongoing Event."
rico:hasDirectSubordinate,Connects an Agent to an Agent that is its direct subordinate.
rico:hasDocumentaryFormType,Connects a Record or Record Part to its Documentary Form Type.
rico:hasDraft,Inverse of 'is draft of' object property.
rico:hasEndDate,Inverse of 'is end date of' object property.
rico:hasEventType,Connects an Event to an Event Type which categorizes it.
rico:hasExtent,Connects a Record Resource or Instantiation to an Extent
rico:hasExtentType,Connects an Extent to an Extent Type that categorizes what is being measured.
rico:hasFamilyAssociationWith,"Connects two Persons that have some type of family link, i.e. belong to the same family. This relation is symmetric."
rico:hasFamilyType,Connects a Family to a Family Type that categorizes it.
rico:hasGeneticLinkToRecordResource,"Connects two Record Resources when there is a genetic link between them. Genetic in this sense is as defined by diplomatics, i.e. the process by which a Record Resource is developed. This relation is symmetric."
rico:hasIdentifierType,Connects an Identifier and an Identifier Type that categorizes it.
rico:hasMigrationDate,Inverse of 'is migration date of' object property.
rico:hasModificationDate,Inverse of 'is modification date of' object property.
rico:hasOrHadAgentName,Connects an Agent and (one of) its present or past Agent Name.
rico:hasOrHadAllMembersWithAccumulationDate,Inverse of 'is or was accumulation date of all members of' object property.
rico:hasOrHadAllMembersWithContentType,Connects a Record Set and a Content Type that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithCreationDate,Inverse of 'is or was creation date of all members of' object property.
rico:hasOrHadAllMembersWithDocumentaryFormType,Connects a Record Set and a Documentary Form Type that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithLanguage,Connects a Record Set and a Language used by all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithLegalStatus,Connects a Record Set and a Legal Status that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithMainSubject,Connects a Record Set and a Thing that is the main subject of all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithRecordState,Connects a Record Set and a Record State that categorizes all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithSubject,Connects a Record Set and a Thing that is the subject of all the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadAllMembersWithType,Connects a Record Set and a Type to which all the Records or Record Parts that are or were included in the Record Set belong.
rico:hasOrHadAnalogueInstantiation,"Connects a record resource to one of its analogue instantiations, whether it exists or has been lost or destroyed."
rico:hasOrHadAppellation,Connects a Thing to an Appellation that is or was used for designating it.
rico:hasOrHadAuthorityOver,Connects an Agent to a Thing over which the Agent has or had some kind of authority.
rico:hasOrHadComponent,Connects an Instantiation to one of its present or past component instantiations.
rico:hasOrHadConstituent,Connects a Record or Record Part to a Record or Record part that is or was a constituent of that Record or Record Part.
rico:hasOrHadController,Inverse of 'is or was controller of' object property.
rico:hasOrHadCoordinates,Connects a Physical Location to its past or present coordinates in a reference system.
rico:hasOrHadCorporateBodyType,Connects a Corporate Body to a Corporate Body Type which categorizes or categorized it.
rico:hasOrHadCorrespondent,Connects two Persons that correspond or have corresponded with each other. This relation is symmetric.
rico:hasOrHadDemographicGroup,Connects a Person or a Group to a Demographic Group to which it belongs or belonged.
rico:hasOrHadDerivedInstantiation,"Connects an instantiation to an instantiation that is derived from it, whether it exists or has been lost or destroyed."
rico:hasOrHadDigitalInstantiation,"Connects a record resource to one of its digital instantiations, whether it exists or has been lost or destroyed."
rico:hasOrHadEmployer,Inverse of 'is or was employer of' object property.
rico:hasOrHadHolder,Inverse of 'is or was holder of' object property.
rico:hasOrHadIdentifier,Connects a Thing to one of its past or present Identifiers.
rico:hasOrHadInstantiation,"Connects a Record Resource to an Instantiation, which either may exist or may have been lost or destroyed."
rico:hasOrHadIntellectualPropertyRightsHolder,Inverse of 'is or was holder of intellectual property rights of' object property.
rico:hasOrHadJurisdiction,Inverse of 'is or was jurisdiction of' object property.
rico:hasOrHadLanguage,"Connects an Agent, Record or Record Part to a Language that uses or used it."
rico:hasOrHadLeader,Inverse of 'is or was leader of' object property.
rico:hasOrHadLegalStatus,Connects an Agent or Record Resource to a Legal Status which categorized or categorizes it.
rico:hasOrHadLocation,Inverse of 'is or was location of' object property.
rico:hasOrHadMainSubject,Connects a Record Resource to a Thing that is or was its main subject.
rico:hasOrHadManager,Inverse of 'is or was manager of' object property.
rico:hasOrHadMandateType,Connects a Mandate to a Mandate Type that categorized or categorizes it.
rico:hasOrHadMember,Connects a Group to a Person that is or was a member of that Group.
rico:hasOrHadMostMembersWithAccumulationDate,Inverse of 'is or was accumulation date of most members of' object property.
rico:hasOrHadMostMembersWithCreationDate,Inverse of 'is or was creation date of most members of' object property.
rico:hasOrHadName,Connects a Thing to one of its past or present Names.
rico:hasOrHadOccupationOfType,"Connects a Person to an Occupation Type that categorized or categorizes his/her occupation (profession, trade or craft)."
rico:hasOrHadOwner,Inverse of 'is or was owner of' object property.
rico:hasOrHadPart,Connects a Thing to a constitutive or component part of that Thing.
rico:hasOrHadParticipant,Connects an Event to a Thing that is or was actively or passively involved in it.
rico:hasOrHadPhysicalLocation,Connects a Place to one of its past or present Physical Location.
rico:hasOrHadPlaceName,Connects a Place to one of its past or present names.
rico:hasOrHadPlaceType,Connects a Place to a Place Type that categorized or categorizes it.
rico:hasOrHadPosition,Inverse of 'exists or existed in' object property.
rico:hasOrHadRuleType,Connects a Rule to a Rule Type that categorized or categorizes it.
rico:hasOrHadSomeMembersWhoseContentMainlyRepresents,Connects a Record Set and a Thing that is the main element represented by the content of some of the members of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWhoseContentRepresents,Connects a Record Set and a Thing that is represented by the content of some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithAccumulationDate,Inverse of 'is or was accumulation date of some members of' object property.
rico:hasOrHadSomeMembersWithContentType,Connects a Record Set and a Content Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithCreationDate,Inverse of 'is or was creation date of some members of' object property.
rico:hasOrHadSomeMembersWithDocumentaryFormType,Connects a Record Set and a Documentary Form Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithLanguage,Connects a Record Set and a Language used by some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithLegalStatus,Connects a Record Set and a Legal Status that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithMainSubject,Connects a Record Set and a Thing that is the main subject of some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithRecordState,Connects a Record Set and a Record State that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithSubject,Connects a Record Set and a Thing that is the subject of some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithType,Connects a Record Set and a Type to which some of the Records or Record Parts that are or were included in the Record Set belong.
rico:hasOrHadSpouse,Connects two Persons who are or were married. This relation is symmetric.
rico:hasOrHadStudent,Inverse of 'has or had teacher' object property.
rico:hasOrHadSubdivision,Connects a Group to one of its present or past subdivisions.
rico:hasOrHadSubevent,"Connects an Event to one of a series of Events that constitute the original, broader, past or ongoing Event."
rico:hasOrHadSubject,Connects a Record Resource to a Thing that is or was its subject.
rico:hasOrHadSubordinate,Connects an Agent to an Agent that is hierarchically inferior.
rico:hasOrHadTeacher,Connects a Person to another Person who is or was their teacher.
rico:hasOrHadTitle,"Connects a Record Resource, Instantiation or Rule to a title that is or was used for designating it."
rico:hasOrHadType,Connects a Thing to a Type that categorizes or categorized it.
rico:hasOrHadWorkRelationWith,Connects two Agents that have or had some type of work relation in the course of their activities. This relation is symmetric.
rico:hasOrganicOrFunctionalProvenance,"Connects a Record Resource or an Instantiation to an Agent that creates or accumulates it, receives it, or sends it, or to an Activity that generates it."
rico:hasOrganicProvenance,"Connects a Record Resource or an Instantiation to an Agent that creates or accumulates the Record Resource, receives it, or sends it."
rico:hasOrganicProvenanceDate,Inverse of 'is date associated with organic provenance of' object property.
rico:hasOriginal,Inverse of 'is original of' object property.
rico:hasPartTransitive,"Connects a Thing to a Thing that is, directly or indirectly, a constitutive or component part of that Thing. This is a transitive relation."
rico:hasProductionTechniqueType,Connects an Instantiation to a Production Technique Type that categorizes its production technique.
rico:hasProxy,Inverse of 'proxy for' object property.
rico:hasPublicationDate,Inverse of 'is publication date of' object property.
rico:hasPublisher,Connects a Record resource to an Agent who published it.
